"var","model","kl_div"
"multi","cdep_c",5.13177890676885
"multi","cindep_c",5.85547325447912
"multi","cdep",5.06185522568573
"multi","cindep",5.85505779889933
"lb","cdep",3.82945100500249
"lb","cindep",5.40485860046073
"ef_oss","cdep",4.29624418615977
"ef_oss","cindep",4.65398050973939
"dent","cdep",5.21962944942119
"dent","cindep",6.11345627680836
"rdl","homo",4.27675534842564
"rdl","hetero",2.78259694172147
"fdl","homo",4.52572739856418
"fdl","hetero",3.85652708189038
"man_PM2","homo",3.94057401973888
"man_PM2","hetero",3.97156574521097
"pc_oss","homo",0.503939245151499
"pc_oss","hetero",0.503939245765445
